,tweet_text
0,@erictile_: The reason why America isn’t recovering from COVID-19 as quickly as other countries is because we are a country that values…
1,@erictile_: The reason why America isn’t recovering from COVID-19 as quickly as other countries is because we are a country that values…
2,@itskevo254: This is the first year I'm not going to Dubai coz of covid-19. I usually don't go coz I'm broke 😂😂
3,"@ipragyasingh1: DM agra has issued u a notice for baseless aligations. The facts – In the past 109 days, Agra has…"
4,@tveitdal: The Covid-19 pandemic is threatening vital rainforests https://t.co/fAgiLzJuPY coronavirus is undermining efforts to control…
5,@LogicalIndians: A photo of a doctor’s hands after a 10-hour shift in protective gear has shown the plight of
6,@PypAyurved: Launch of first and foremost evidence-based ayurvedic medicine for Covid-19 @Ach_Balkrishna #आ…
7,Proud &amp; thankful for launching first and foremost evidence-based ayurvedic medicine for Covid-19… https://t.co/owWouxeBPU
8,@erictile_: The reason why America isn’t recovering from COVID-19 as quickly as other countries is because we are a country that values…
9,@erictile_: The reason why America isn’t recovering from COVID-19 as quickly as other countries is because we are a country that values…
10,"""Cities are wrestling with a potential new exodus in the COVID-19 era, but Urban-X still believes in their future"" https://t.co/PaqJdwwKNF"
11,@kstarlivecom: 8 GIFs of #Jinhwan to Accompany You Staying at Home and Staying Safe as the COVID-19 Pandemic Continues
12,and jointly did the results are Amazing-Within 3 Days 69% Pati… https://t.co/XfEqoERQNy
13,@Gurdur: 1/n So the UK government deliberately played down the scale of deaths from by reporting only deaths in hospital of pa…
14,@KamVTV: I just got off the phone with one of my parents. Their friend had a death in the family and the Dallas hospital asked them if t…
15,@AskAnshul: Updates: 1. Delhi Police opposes Safoora Zargar's bail stating that 39 deliveries in Delhi prison in last 10 years. Zargar…
16,@rohanrp2001: Patanjali launches Made in India ayurvedic COVID-19 medicine 'coronil' . Baba Ramdev Claims this medicine is clinical cont…
17,@KamVTV: I just got off the phone with one of my parents. Their friend had a death in the family and the Dallas hospital asked them if t…
18,@erictile_: The reason why America isn’t recovering from COVID-19 as quickly as other countries is because we are a country that values…
19,"@NEWS9TWEETS: @yogrishiramdev’s has prepared first Ayurvedic-clinically controlled, research, evidence and trial ba…"
20,@YPKedarNath: Yoga guru Ramdev-run Patanjali has claimed that its Ayurvedic medicine 'Coronil' can help cure COVID-19 caused by the nove…
21,@pyptharidwar: Launch of first and foremost evidence-based ayurvedic medicine for Covid-19 @Ach_Balkrishna #…
22,@ravenscimaven: Some of the same people from the Black community who've encouraged me to have a career as a scientist will also refuse t…
23,"@FergalBowers: “In Ireland, in the last 14 days over a third of new confirmed cases are in young people under the age of 35. This is not…"
24,"@Kpop_Herald: and have donated $1M to the campaign, ""one of the largest artist donations"" since the fun…"
25,@PatanjaliDairy: Launch of first and foremost evidence-based ayurvedic medicine for Covid-19 @Ach_Balkrishna
26,@IamMayank_: launches first COVID 19 ayurvedic Medicine - CORONIL Baba Ramdev 🙏 https://t.c…
27,@RwpPolice: Two Inspectors of Rawalpindi Police are back after beating Alhamdulillah. SHO Gujarkhan Imran Abbas and SHO Nase…
28,@OfficialMonstaX: We are so excited to play a once in a lifetime concert from Seoul with Luv! This concert is for that we could…
29,@staronline: Minister: Thailand's Covid-19 vaccine trial on monkeys successful https://t.co/63FucqSucR https://t.co/63FucqSucR
30,"@RandPaul: I know good news doesn’t sell and will never make the evening news, but good news: coronavirus deaths continue to fall. Da…"
31,Houston protesters begin to fall ill with coronavirus after marching for George Floyd 😂😂😂… https://t.co/f818PK9bFw
32,"@LilacSeeker: @BTS_twt ""If it weren’t for COVID-19, we would have been happily touring across the world with many of…"
33,@NHSMillion: Here is Health Minister Helen Whately’s response to concerns from a student nurse In it she says “student nurses are not d…
34,"@BTSMerchUpdates: ""BTS and Big Hit have donated $1 million to Live Nation's Crew Nation campaign. The fund was launched in March to supp…"
35,@bty_bst_phtm: Online Yuzuru Hanyu exhibition merchandises will be sold at online shop(MTO). Part of the proceed will be donated to the…
36,@timeshighered: Universities around the world face a “lost generation of researchers” unless careful thought is given now to supporting…
37,"@TimesNow: WATCH: Patanjali announces ayurvedic cure for Coronavirus. We've prepared the first Ayurvedic-clinically controlled, researc…"
38,“The way the WHO health organization operates is not good. They need help. They wanted us to take in people tested… https://t.co/xBac1WOOOh
39,Does this apply to men who were born with vaginas or is COVID-19 transphobic? 🤔 https://t.co/1qADDVbQAr
40,@mickfortune: Australia saw the potential of NFC/RFID very early. Combining it with has helped open libraries after
41,"@TFSome1Special: The World has accepted China's ""Covid-19""! Congratulations!"
42,is set to sign an executive order which will suspend visas for foreign workers till the end of 20… https://t.co/GhcBFCNvwT
43,@MpysRanjana: Yoga guru Ramdev-run Patanjali has claimed that its Ayurvedic medicine 'Coronil' can help cure COVID-19 caused by the nove…
44,@skynewsniall To be fair it might give a long term boost to covid-19 so I guess we can give points for h… https://t.co/yxcHekzRHy
45,"@BernieSanders: Trump had a bad night in Tulsa. Very low turnout. Even his supporters know that COVID-19 is real and dangerous, and shou…"
46,@TheHeroicDose: I don't see how the the active unwillingness of the federal government to respond to the COVID-19 crisis is anything but…
47,@unisontheunion: Today is #PublicServiceDay Honouring the women and men delivering our essential public services amid the ongoing C…
48,@karnataka_pyp: Launch of first and foremost evidence-based ayurvedic medicine for Covid-19 @Ach_Balkrishna #…
49,"@iamKomlah: To the students who are back on campus, here are some few Covid-19 preventive measures to follow: ▶️ always wear a nose mask…"
50,"@BashirAhmaad: This is huge! Thank you and thank you Together, we will wipe out this virus [COVID–19] comple…"
51,@Er_shashikumar: The top group of scientists from Patanjali Ayurved have made medicine with the most potent and widely used Ayurvedic he…
52,@swabhimani1: and #Jaipur jointly did the results are Amazing-- Within 3 Days 69% Pa…
53,@xDlFqx1t694Bv7I: The top group of scientists from Patanjali Ayurved have made medicine with the most potent and widely used Ayurvedic h…
54,"@KailashChandOBE: The government is estimating it will spend £5bn on testing for covid-19, according to a Public Health England…"
55,to launch COVID-19 drug that claims cure in 14 days. Meanwhile Baba Ramdev to scien… https://t.co/a8egbUHyMM
56,"@techreview_pk: Daily update on in - 185,034 cases - 73,471 recoveries - 3,695 deaths Source: https://t.co/jFV…"
57,@karynmaughan: Despite NPA stating that former President Jacob Zuma - as a person “vulnerable” to COVID-19 - would not be expected to at…
58,@HarisRauf14: Tested Positive for COVID-19. Fortunately I am very much stable . Remember me in your precious prayers. Take every kind of…
59,@PatanjaliDairy: Launch of first and foremost evidence-based ayurvedic medicine for Covid-19 @Ach_Balkrishna
60,"@PTI_News: India's COVID-19 death toll rises to 14,011, cases climb to 4,40,215 with single-day spike of 312 fatalities and 14,933 new i…"
61,"The total number of confirmed COVID-19 cases in the North West Province is 2315, with 256 recoveries and… https://t.co/nwQI2ZWU8Q"
62,@pyptharidwar: Launch of first and foremost evidence-based ayurvedic medicine for Covid-19 @Ach_Balkrishna #…
63,"@SkyNews: Men appear to produce much higher levels of antibodies to COVID-19 when infected with the disease, figures from the NHS sugges…"
64,launched the ayurvedic medicine for treating today at Patanjali Yogpeeth in https://t.co/cObCYeWjHi
65,"Orlando Pride Withdraw From NWSL Challenge Cup After Players, Staff Test Positive For COVID-19 Six..."
66,@DIWelfare: الحمدلله Dawateislami gets appreciation from on arranging largest blood donation drive throughout In Pakist…
67,@yvsminldn: Yemen is the largest humanitarian crisis and COVID-19 threatens to push them over the brink. I’m raising money to provide fa…
68,The rate of without symptoms range between about 20 and 80% for Business and Health Consult… https://t.co/DRUBtpQJeQ
69,@Sambedana98: The top group of scientists from Patanjali Ayurved have made medicine with the most potent and widely used Ayurvedic herbs…
70,@Antarcticlegacy: SANAP Collaboration during COVID-19 – An Online Presence. @NRF_News @marionseals83 @geo…
71,@JustLakThat: Phase 4 is literally the “We’re actually going to ignore COVID-19 from this point on” phase
72,@MamataOfficial: Greetings to all my brothers and sisters on the occasion of the Festival. May the blessings of Lord Jagannat…
73,@Er_shashikumar: The top group of scientists from Patanjali Ayurved have made medicine with the most potent and widely used Ayurvedic he…
74,@wearewfa: We've two excellent speakers lined up for Thursday's webcast! We'll be hearing from CEO &amp; President &amp; Jacquel…
75,@erictile_: The reason why America isn’t recovering from COVID-19 as quickly as other countries is because we are a country that values…
76,@starriider: america normalized covid-19 before it normalized boys in eyeshadow and crop tops damn i hate it here
77,@Memes_lancer: Ayurvedic drug for covid-19 Everyone to : https://t.co/EC4BVLwAo4
78,"The Lord will shine His light on our path, divert our feet from dangers and calamities, He will chase away every si… https://t.co/ozB1CVc3W1"
79,@PypAyurved: Launch of first and foremost evidence-based ayurvedic medicine for Covid-19 @Ach_Balkrishna #आ…
80,@xLordOfAnime: States: *go into phase 4* COVID-19 spreading from person to person: https://t.co/cLV6kOrVad
81,@inquirerdotnet: Efforts to boost the economy will “fail” if the government does not address the continuing increase of COVID-19 cases i…
82,@pyptharidwar: Launch of first and foremost evidence-based ayurvedic medicine for Covid-19 @Ach_Balkrishna #…
83,@jharkhand_pyp: Launch of first and foremost evidence-based ayurvedic medicine for Covid-19 @Ach_Balkrishna #…
84,"@ipragyasingh1: DM agra has issued u a notice for baseless aligations. The facts – In the past 109 days, Agra has…"
85,@cnnphilippines: Vice President Leni Robredo has had enough of malicious claims besmirching her name and her office's COVID-19 efforts a…
86,Ramdev had revealed that COVID-19 patients who were given Coronil which is made from a mixture of Ashwag… https://t.co/gs6CsgadGu
87,"@RepValDemings Negative That’s like saying, “If can golf in the middle of a CoVid-19 lockdo… https://t.co/kgIzv50MV8"
88,@erictile_: The reason why America isn’t recovering from COVID-19 as quickly as other countries is because we are a country that values…
89,@SethAbramson: We thought the COVID-19 scandal was Trump learning of the virus in January and doing nothing effective or relevant to cur…
90,@MigayoHR: We must invest in comprehensive community mental health services and alternatives that respect autonomy and dignity as part o…
91,"@htTweets: | Ramdev claims to have made 1st vaccine against Covid-19, recovery in 7 days https://t.co/lNK5QxZmvc h…"
92,"@BTSUKUNITE: BTS and Big Hit have donated $1M to Live Nation's ""Crew Nation"" campaign, which launched in March to support the live conce…"
93,@lzion: Looking forward to introducing this event tomorrow at 5 pm. 'Covid19: What is next for regional Victoria? https://t.co/6LTza8VTv…
94,@atc_iitjee_neet: It's a serious matter and thousands of student's lives are in danger due to the increasing cases…
95,And this isn’t trending. https://t.co/vbzK1VUcSG
96,@BeatByBenally: Adding this late but the Navajo Nation has been hit pretty hard by COVID-19 &amp; I made a thread of fundraisers that are he…
97,@airnews_imphal: Churachandpur District Hospital Dialysis Program which was halted for a few months due to pandemic…
98,@erictile_: The reason why America isn’t recovering from COVID-19 as quickly as other countries is because we are a country that values…
99,@zeefa64: It only took 36 hours to get this news that we've been expecting! 🤣🤣🤣🤣 https://t.co/kFEtyfh8HT
